index,process_stage,name,op,target,args,users,shape,dtype,device,args_repr,kwargs_repr
22,qkv_projection,getitem_1,call_function,<built-in function getitem>,split_with_sizes,view_3,"[1, 1024]",bfloat16,cuda:0,"(split_with_sizes, 1)",{}
23,qkv_projection,getitem_2,call_function,<built-in function getitem>,split_with_sizes,view_12,"[1, 1024]",bfloat16,cuda:0,"(split_with_sizes, 2)",{}
24,qkv_projection,view,call_function,aten.view.default,getitem,split,"[1, 24, 512]",bfloat16,cuda:0,"(getitem, [1, 24, -1])",{}
25,qkv_projection,split,call_function,aten.split.Tensor,view,getitem_3 getitem_4,,,,"(view, 256, -1)",{}
26,qkv_projection,getitem_3,call_function,<built-in function getitem>,split,clone,"[1, 24, 256]",bfloat16,cuda:0,"(split, 0)",{}
27,qkv_projection,getitem_4,call_function,<built-in function getitem>,split,clone_1,"[1, 24, 256]",bfloat16,cuda:0,"(split, 1)",{}
28,qkv_projection,clone,call_function,aten.clone.default,getitem_3,_unsafe_view,"[1, 24, 256]",bfloat16,cuda:0,"(getitem_3,)",{'memory_format': torch.contiguous_format}
29,qkv_projection,_unsafe_view,call_function,aten._unsafe_view.default,clone,view_1,"[1, 6144]",bfloat16,cuda:0,"(clone, [1, 6144])",{}
30,qkv_projection,clone_1,call_function,aten.clone.default,getitem_4,_unsafe_view_1,"[1, 24, 256]",bfloat16,cuda:0,"(getitem_4,)",{'memory_format': torch.contiguous_format}
31,qkv_projection,_unsafe_view_1,call_function,aten._unsafe_view.default,clone_1,sigmoid,"[1, 6144]",bfloat16,cuda:0,"(clone_1, [1, 6144])",{}
32,qkv_projection,view_1,call_function,aten.view.default,_unsafe_view,_to_copy_3,"[1, 24, 256]",bfloat16,cuda:0,"(_unsafe_view, [-1, 24, 256])",{}
33,qkv_projection,_param_constant2,get_attr,_param_constant2,,detach_1,[256],bfloat16,cuda:0,(),{}
34,qkv_projection,detach_1,call_function,aten.detach.default,_param_constant2,_to_copy_4,[256],bfloat16,cuda:0,"(_param_constant2,)",{}
35,qkv_projection,_to_copy_3,call_function,aten._to_copy.default,view_1,mul_2 pow_2,"[1, 24, 256]",float32,cuda:0,"(view_1,)",{'dtype': torch.float32}
36,qkv_projection,pow_2,call_function,aten.pow.Tensor_Scalar,_to_copy_3,mean_1,"[1, 24, 256]",float32,cuda:0,"(_to_copy_3, 2)",{}
37,qkv_projection,mean_1,call_function,aten.mean.dim,pow_2,add_3,"[1, 24, 1]",float32,cuda:0,"(pow_2, [-1], True)",{}
38,qkv_projection,add_3,call_function,aten.add.Tensor,mean_1,rsqrt_1,"[1, 24, 1]",float32,cuda:0,"(mean_1, 1e-06)",{}
39,qkv_projection,rsqrt_1,call_function,aten.rsqrt.default,add_3,mul_2,"[1, 24, 1]",float32,cuda:0,"(add_3,)",{}
40,qkv_projection,mul_2,call_function,aten.mul.Tensor,_to_copy_3 rsqrt_1,mul_3,"[1, 24, 256]",float32,cuda:0,"(_to_copy_3, rsqrt_1)",{}
41,qkv_projection,_to_copy_4,call_function,aten._to_copy.default,detach_1,add_4,[256],float32,cuda:0,"(detach_1,)",{'dtype': torch.float32}
42,qkv_projection,add_4,call_function,aten.add.Tensor,_to_copy_4,mul_3,[256],float32,cuda:0,"(_to_copy_4, 1.0)",{}
43,qkv_projection,mul_3,call_function,aten.mul.Tensor,mul_2 add_4,_to_copy_5,"[1, 24, 256]",float32,cuda:0,"(mul_2, add_4)",{}
44,qkv_projection,_to_copy_5,call_function,aten._to_copy.default,mul_3,view_2,"[1, 24, 256]",bfloat16,cuda:0,"(mul_3,)",{'dtype': torch.bfloat16}
45,qkv_projection,view_2,call_function,aten.view.default,_to_copy_5,view_5,"[1, 6144]",bfloat16,cuda:0,"(_to_copy_5, [-1, 6144])",{}
46,qkv_projection,view_3,call_function,aten.view.default,getitem_1,_to_copy_6,"[1, 4, 256]",bfloat16,cuda:0,"(getitem_1, [-1, 4, 256])",{}
47,qkv_projection,_param_constant3,get_attr,_param_constant3,,detach_2,[256],bfloat16,cuda:0,(),{}
48,qkv_projection,detach_2,call_function,aten.detach.default,_param_constant3,_to_copy_7,[256],bfloat16,cuda:0,"(_param_constant3,)",{}
49,qkv_projection,_to_copy_6,call_function,aten._to_copy.default,view_3,mul_4 pow_3,"[1, 4, 256]",float32,cuda:0,"(view_3,)",{'dtype': torch.float32}
50,qkv_projection,pow_3,call_function,aten.pow.Tensor_Scalar,_to_copy_6,mean_2,"[1, 4, 256]",float32,cuda:0,"(_to_copy_6, 2)",{}
51,qkv_projection,mean_2,call_function,aten.mean.dim,pow_3,add_5,"[1, 4, 1]",float32,cuda:0,"(pow_3, [-1], True)",{}
52,qkv_projection,add_5,call_function,aten.add.Tensor,mean_2,rsqrt_2,"[1, 4, 1]",float32,cuda:0,"(mean_2, 1e-06)",{}
53,qkv_projection,rsqrt_2,call_function,aten.rsqrt.default,add_5,mul_4,"[1, 4, 1]",float32,cuda:0,"(add_5,)",{}
54,qkv_projection,mul_4,call_function,aten.mul.Tensor,_to_copy_6 rsqrt_2,mul_5,"[1, 4, 256]",float32,cuda:0,"(_to_copy_6, rsqrt_2)",{}
55,qkv_projection,_to_copy_7,call_function,aten._to_copy.default,detach_2,add_6,[256],float32,cuda:0,"(detach_2,)",{'dtype': torch.float32}
56,qkv_projection,add_6,call_function,aten.add.Tensor,_to_copy_7,mul_5,[256],float32,cuda:0,"(_to_copy_7, 1.0)",{}
57,qkv_projection,mul_5,call_function,aten.mul.Tensor,mul_4 add_6,_to_copy_8,"[1, 4, 256]",float32,cuda:0,"(mul_4, add_6)",{}
58,qkv_projection,_to_copy_8,call_function,aten._to_copy.default,mul_5,view_4,"[1, 4, 256]",bfloat16,cuda:0,"(mul_5,)",{'dtype': torch.bfloat16}
59,qkv_projection,view_4,call_function,aten.view.default,_to_copy_8,view_7,"[1, 1024]",bfloat16,cuda:0,"(_to_copy_8, [-1, 1024])",{}
60,rope,_tensor_constant0,get_attr,_tensor_constant0,,index,"[1048576, 64]",bfloat16,cuda:0,(),{}
61,rope,index,call_function,aten.index.Tensor,arg0_1 _tensor_constant0,split_1,"[3, 1, 64]",bfloat16,cuda:0,"(_tensor_constant0, [arg0_1])",{}
62,rope,split_1,call_function,aten.split.Tensor,index,getitem_5 getitem_6,,,,"(index, 32, -1)",{}
63,rope,getitem_5,call_function,<built-in function getitem>,split_1,select select_1 select_2,"[3, 1, 32]",bfloat16,cuda:0,"(split_1, 0)",{}
64,rope,getitem_6,call_function,<built-in function getitem>,split_1,select_3 select_4 select_5,"[3, 1, 32]",bfloat16,cuda:0,"(split_1, 1)",{}
65,rope,select,call_function,aten.select.int,getitem_5,clone_2,"[1, 32]",bfloat16,cuda:0,"(getitem_5, 0, 0)",{}
66,rope,clone_2,call_function,aten.clone.default,select,slice_2 slice_4 unsqueeze unsqueeze_2,"[1, 32]",bfloat16,cuda:0,"(select,)",{}
67,rope,select_1,call_function,aten.select.int,getitem_5,slice_1,"[1, 32]",bfloat16,cuda:0,"(getitem_5, 0, 1)",{}
68,rope,slice_1,call_function,aten.slice.Tensor,select_1,copy_,"[1, 11]",bfloat16,cuda:0,"(select_1, 1, 1, 33, 3)",{}
69,rope,slice_2,call_function,aten.slice.Tensor,clone_2,copy_,"[1, 11]",bfloat16,cuda:0,"(clone_2, 1, 1, 33, 3)",{}
70,rope,copy_,call_function,aten.copy_.default,slice_1 slice_2,,"[1, 11]",bfloat16,cuda:0,"(slice_2, slice_1)",{}
71,rope,select_2,call_function,aten.select.int,getitem_5,slice_3,"[1, 32]",bfloat16,cuda:0,"(getitem_5, 0, 2)",{}
72,rope,slice_3,call_function,aten.slice.Tensor,select_2,copy__1,"[1, 10]",bfloat16,cuda:0,"(select_2, 1, 2, 30, 3)",{}
73,rope,slice_4,call_function,aten.slice.Tensor,clone_2,copy__1,"[1, 10]",bfloat16,cuda:0,"(clone_2, 1, 2, 30, 3)",{}
74,rope,copy__1,call_function,aten.copy_.default,slice_3 slice_4,,"[1, 10]",bfloat16,cuda:0,"(slice_4, slice_3)",{}
75,rope,select_3,call_function,aten.select.int,getitem_6,clone_3,"[1, 32]",bfloat16,cuda:0,"(getitem_6, 0, 0)",{}
76,rope,clone_3,call_function,aten.clone.default,select_3,slice_6 slice_8 unsqueeze_1 unsqueeze_3,"[1, 32]",bfloat16,cuda:0,"(select_3,)",{}
77,rope,select_4,call_function,aten.select.int,getitem_6,slice_5,"[1, 32]",bfloat16,cuda:0,"(getitem_6, 0, 1)",{}
78,rope,slice_5,call_function,aten.slice.Tensor,select_4,copy__2,"[1, 11]",bfloat16,cuda:0,"(select_4, 1, 1, 33, 3)",{}
79,rope,slice_6,call_function,aten.slice.Tensor,clone_3,copy__2,"[1, 11]",bfloat16,cuda:0,"(clone_3, 1, 1, 33, 3)",{}
80,rope,copy__2,call_function,aten.copy_.default,slice_5 slice_6,,"[1, 11]",bfloat16,cuda:0,"(slice_6, slice_5)",{}
81,rope,select_5,call_function,aten.select.int,getitem_6,slice_7,"[1, 32]",bfloat16,cuda:0,"(getitem_6, 0, 2)",{}
82,rope,slice_7,call_function,aten.slice.Tensor,select_5,copy__3,"[1, 10]",bfloat16,cuda:0,"(select_5, 1, 2, 30, 3)",{}
83,rope,slice_8,call_function,aten.slice.Tensor,clone_3,copy__3,"[1, 10]",bfloat16,cuda:0,"(clone_3, 1, 2, 30, 3)",{}
84,rope,copy__3,call_function,aten.copy_.default,slice_7 slice_8,,"[1, 10]",bfloat16,cuda:0,"(slice_8, slice_7)",{}
85,rope,view_5,call_function,aten.view.default,view_2,slice_10 slice_9,"[1, 24, 256]",bfloat16,cuda:0,"(view_2, [1, -1, 256])",{}
86,rope,slice_9,call_function,aten.slice.Tensor,view_5,split_2,"[1, 24, 64]",bfloat16,cuda:0,"(view_5, 2, 0, 64)",{}
87,rope,slice_10,call_function,aten.slice.Tensor,view_5,cat_1,"[1, 24, 192]",bfloat16,cuda:0,"(view_5, 2, 64, 9223372036854775807)",{}
88,rope,unsqueeze,call_function,aten.unsqueeze.default,clone_2,mul_6 mul_8,"[1, 1, 32]",bfloat16,cuda:0,"(clone_2, -2)",{}
89,rope,unsqueeze_1,call_function,aten.unsqueeze.default,clone_3,mul_7 mul_9,"[1, 1, 32]",bfloat16,cuda:0,"(clone_3, -2)",{}
90,rope,split_2,call_function,aten.split.Tensor,slice_9,getitem_7 getitem_8,,,,"(slice_9, 32, -1)",{}
91,rope,getitem_7,call_function,<built-in function getitem>,split_2,mul_6 mul_9,"[1, 24, 32]",bfloat16,cuda:0,"(split_2, 0)",{}
92,rope,getitem_8,call_function,<built-in function getitem>,split_2,mul_7 mul_8,"[1, 24, 32]",bfloat16,cuda:0,"(split_2, 1)",{}
93,rope,mul_6,call_function,aten.mul.Tensor,unsqueeze getitem_7,sub,"[1, 24, 32]",bfloat16,cuda:0,"(getitem_7, unsqueeze)",{}
94,rope,mul_7,call_function,aten.mul.Tensor,unsqueeze_1 getitem_8,sub,"[1, 24, 32]",bfloat16,cuda:0,"(getitem_8, unsqueeze_1)",{}
95,rope,sub,call_function,aten.sub.Tensor,mul_6 mul_7,cat,"[1, 24, 32]",bfloat16,cuda:0,"(mul_6, mul_7)",{}
96,rope,mul_8,call_function,aten.mul.Tensor,unsqueeze getitem_8,add_7,"[1, 24, 32]",bfloat16,cuda:0,"(getitem_8, unsqueeze)",{}
97,rope,mul_9,call_function,aten.mul.Tensor,unsqueeze_1 getitem_7,add_7,"[1, 24, 32]",bfloat16,cuda:0,"(getitem_7, unsqueeze_1)",{}
98,rope,add_7,call_function,aten.add.Tensor,mul_8 mul_9,cat,"[1, 24, 32]",bfloat16,cuda:0,"(mul_8, mul_9)",{}
99,rope,cat,call_function,aten.cat.default,sub add_7,cat_1,"[1, 24, 64]",bfloat16,cuda:0,"([sub, add_7], -1)",{}
100,rope,cat_1,call_function,aten.cat.default,slice_10 cat,view_6,"[1, 24, 256]",bfloat16,cuda:0,"([cat, slice_10], -1)",{}
101,rope,view_6,call_function,aten.view.default,cat_1,view_9,"[1, 6144]",bfloat16,cuda:0,"(cat_1, [1, 6144])",{}
102,rope,view_7,call_function,aten.view.default,view_4,slice_11 slice_12,"[1, 4, 256]",bfloat16,cuda:0,"(view_4, [1, -1, 256])",{}
103,rope,slice_11,call_function,aten.slice.Tensor,view_7,split_3,"[1, 4, 64]",bfloat16,cuda:0,"(view_7, 2, 0, 64)",{}
104,rope,slice_12,call_function,aten.slice.Tensor,view_7,cat_3,"[1, 4, 192]",bfloat16,cuda:0,"(view_7, 2, 64, 9223372036854775807)",{}
105,rope,unsqueeze_2,call_function,aten.unsqueeze.default,clone_2,mul_10 mul_12,"[1, 1, 32]",bfloat16,cuda:0,"(clone_2, -2)",{}
106,rope,unsqueeze_3,call_function,aten.unsqueeze.default,clone_3,mul_11 mul_13,"[1, 1, 32]",bfloat16,cuda:0,"(clone_3, -2)",{}
107,rope,split_3,call_function,aten.split.Tensor,slice_11,getitem_10 getitem_9,,,,"(slice_11, 32, -1)",{}
108,rope,getitem_9,call_function,<built-in function getitem>,split_3,mul_10 mul_13,"[1, 4, 32]",bfloat16,cuda:0,"(split_3, 0)",{}
109,rope,getitem_10,call_function,<built-in function getitem>,split_3,mul_11 mul_12,"[1, 4, 32]",bfloat16,cuda:0,"(split_3, 1)",{}
110,rope,mul_10,call_function,aten.mul.Tensor,unsqueeze_2 getitem_9,sub_1,"[1, 4, 32]",bfloat16,cuda:0,"(getitem_9, unsqueeze_2)",{}
111,rope,mul_11,call_function,aten.mul.Tensor,unsqueeze_3 getitem_10,sub_1,"[1, 4, 32]",bfloat16,cuda:0,"(getitem_10, unsqueeze_3)",{}
112,rope,sub_1,call_function,aten.sub.Tensor,mul_10 mul_11,cat_2,"[1, 4, 32]",bfloat16,cuda:0,"(mul_10, mul_11)",{}
113,rope,mul_12,call_function,aten.mul.Tensor,unsqueeze_2 getitem_10,add_8,"[1, 4, 32]",bfloat16,cuda:0,"(getitem_10, unsqueeze_2)",{}
114,rope,mul_13,call_function,aten.mul.Tensor,unsqueeze_3 getitem_9,add_8,"[1, 4, 32]",bfloat16,cuda:0,"(getitem_9, unsqueeze_3)",{}
115,rope,add_8,call_function,aten.add.Tensor,mul_12 mul_13,cat_2,"[1, 4, 32]",bfloat16,cuda:0,"(mul_12, mul_13)",{}
116,rope,cat_2,call_function,aten.cat.default,sub_1 add_8,cat_3,"[1, 4, 64]",bfloat16,cuda:0,"([sub_1, add_8], -1)",{}
117,rope,cat_3,call_function,aten.cat.default,slice_12 cat_2,view_8,"[1, 4, 256]",bfloat16,cuda:0,"([cat_2, slice_12], -1)",{}
118,rope,view_8,call_function,aten.view.default,cat_3,view_11,"[1, 1024]",bfloat16,cuda:0,"(cat_3, [1, 1024])",{}
119,kv_cache_attention,empty,call_function,aten.empty.memory_format,,view_10,"[1, 6144]",bfloat16,cuda:0,"([1, 6144],)","{'dtype': torch.bfloat16, 'device': device(type='cuda', index=0), 'pin_memory': False}"
120,kv_cache_attention,view_9,call_function,aten.view.default,view_6,unified_attention_with_output,"[1, 24, 256]",bfloat16,cuda:0,"(view_6, [-1, 24, 256])",{}
121,kv_cache_attention,view_10,call_function,aten.view.default,empty,unified_attention_with_output view_13,"[1, 24, 256]",bfloat16,cuda:0,"(empty, [-1, 24, 256])",{}
122,kv_cache_attention,view_11,call_function,aten.view.default,view_8,unified_attention_with_output unified_kv_cache_update,"[1, 4, 256]",bfloat16,cuda:0,"(view_8, [-1, 4, 256])",{}
123,kv_cache_attention,view_12,call_function,aten.view.default,getitem_2,unified_attention_with_output unified_kv_cache_update,"[1, 4, 256]",bfloat16,cuda:0,"(getitem_2, [-1, 4, 256])",{}
124,kv_cache_attention,unified_kv_cache_update,call_function,vllm.unified_kv_cache_update.default,view_11 view_12,unified_attention_with_output,[0],bfloat16,cuda:0,"(view_11, view_12, 'language_model.model.layers.3.self_attn.attn')",{}
125,kv_cache_attention,unified_attention_with_output,call_function,vllm.unified_attention_with_output.default,view_9 view_10 view_11 view_12 unified_kv_cache_update,,,,,"(view_9, view_11, view_12, view_10, 'language_model.model.layers.3.self_attn.attn', None, None, unified_kv_cache_update)",{}
126,attention_output,view_13,call_function,aten.view.default,view_10,mul_14,"[1, 6144]",bfloat16,cuda:0,"(view_10, [-1, 6144])",{}
127,attention_output,sigmoid,call_function,aten.sigmoid.default,_unsafe_view_1,mul_14,"[1, 6144]",bfloat16,cuda:0,"(_unsafe_view_1,)",{}
128,attention_output,mul_14,call_function,aten.mul.Tensor,view_13 sigmoid,mm_1,"[1, 6144]",bfloat16,cuda:0,"(view_13, sigmoid)",{}
129,output_projection,_param_constant4,get_attr,_param_constant4,,t_1,"[5120, 6144]",bfloat16,cuda:0,(),{}
130,output_projection,t_1,call_function,aten.t.default,_param_constant4,mm_1,"[6144, 5120]",bfloat16,cuda:0,"(_param_constant4,)",{}
131,output_projection,mm_1,call_function,aten.mm.default,mul_14 t_1,copy__4,"[1, 5120]",bfloat16,cuda:0,"(mul_14, t_1)",{}
132,output_projection,copy__4,call_function,aten.copy_.default,empty_like mm_1,add_9,"[1, 5120]",bfloat16,cuda:0,"(empty_like, mm_1)",{}
133,output_projection,_param_constant5,get_attr,_param_constant5,,detach_3,[5120],bfloat16,cuda:0,(),{}
134,output_projection,detach_3,call_function,aten.detach.default,_param_constant5,_to_copy_10,[5120],bfloat16,cuda:0,"(_param_constant5,)",{}
135,output_projection,add_9,call_function,aten.add.Tensor,add copy__4,_to_copy_9 output,"[1, 5120]",bfloat16,cuda:0,"(copy__4, add)",{}
136,post_attention_rmsnorm,_to_copy_9,call_function,aten._to_copy.default,add_9,mul_15 pow_4,"[1, 5120]",float32,cuda:0,"(add_9,)",{'dtype': torch.float32}
137,post_attention_rmsnorm,pow_4,call_function,aten.pow.Tensor_Scalar,_to_copy_9,mean_3,"[1, 5120]",float32,cuda:0,"(_to_copy_9, 2)",{}
138,post_attention_rmsnorm,mean_3,call_function,aten.mean.dim,pow_4,add_10,"[1, 1]",float32,cuda:0,"(pow_4, [-1], True)",{}
139,post_attention_rmsnorm,add_10,call_function,aten.add.Tensor,mean_3,rsqrt_3,"[1, 1]",float32,cuda:0,"(mean_3, 1e-06)",{}
140,post_attention_rmsnorm,rsqrt_3,call_function,aten.rsqrt.default,add_10,mul_15,"[1, 1]",float32,cuda:0,"(add_10,)",{}
141,post_attention_rmsnorm,mul_15,call_function,aten.mul.Tensor,_to_copy_9 rsqrt_3,mul_16,"[1, 5120]",float32,cuda:0,"(_to_copy_9, rsqrt_3)",{}
142,post_attention_rmsnorm,_to_copy_10,call_function,aten._to_copy.default,detach_3,add_11,[5120],float32,cuda:0,"(detach_3,)",{'dtype': torch.float32}
143,post_attention_rmsnorm,add_11,call_function,aten.add.Tensor,_to_copy_10,mul_16,[5120],float32,cuda:0,"(_to_copy_10, 1.0)",{}
144,post_attention_rmsnorm,mul_16,call_function,aten.mul.Tensor,mul_15 add_11,_to_copy_11,"[1, 5120]",float32,cuda:0,"(mul_15, add_11)",{}
145,post_attention_rmsnorm,_to_copy_11,call_function,aten._to_copy.default,mul_16,mm_2,"[1, 5120]",bfloat16,cuda:0,"(mul_16,)",{'dtype': torch.bfloat16}
146,mlp,_param_constant6,get_attr,_param_constant6,,t_2,"[34816, 5120]",bfloat16,cuda:0,(),{}
147,mlp,t_2,call_function,aten.t.default,_param_constant6,mm_2,"[5120, 34816]",bfloat16,cuda:0,"(_param_constant6,)",{}
148,mlp,mm_2,call_function,aten.mm.default,_to_copy_11 t_2,silu_and_mul,"[1, 34816]",bfloat16,cuda:0,"(_to_copy_11, t_2)",{}
149,mlp,empty_1,call_function,aten.empty.memory_format,,mm_3 silu_and_mul,"[1, 17408]",bfloat16,cuda:0,"([1, 17408],)","{'dtype': torch.bfloat16, 'device': device(type='cuda', index=0), 'pin_memory': False}"
150,mlp,silu_and_mul,call_function,_C.silu_and_mul.default,mm_2 empty_1,,,,,"(empty_1, mm_2)",{}
151,mlp,_param_constant7,get_attr,_param_constant7,,t_3,"[5120, 17408]",bfloat16,cuda:0,(),{}
152,mlp,t_3,call_function,aten.t.default,_param_constant7,mm_3,"[17408, 5120]",bfloat16,cuda:0,"(_param_constant7,)",{}
153,mlp,mm_3,call_function,aten.mm.default,empty_1 t_3,output,"[1, 5120]",bfloat16,cuda:0,"(empty_1, t_3)",{}
154,layer_output,output,output,output,add_9 mm_3,,,,,"((mm_3, add_9),)",{}
