index,process_stage,name,op,target,args,users,shape,dtype,device,args_repr,kwargs_repr
37,gdn_gated_rmsnorm,_param_constant3,get_attr,_param_constant3,,_to_copy_4,[128],bfloat16,cuda:0,(),{}
38,gdn_gated_rmsnorm,_to_copy_4,call_function,aten._to_copy.default,_param_constant3,mul_3,[128],float32,cuda:0,"(_param_constant3,)",{'dtype': torch.float32}
39,gdn_gated_rmsnorm,_to_copy_5,call_function,aten._to_copy.default,_unsafe_view,silu,"[196608, 128]",float32,cuda:0,"(_unsafe_view,)",{'dtype': torch.float32}
40,gdn_gated_rmsnorm,pow_2,call_function,aten.pow.Tensor_Scalar,_to_copy_3,mean_1,"[196608, 128]",float32,cuda:0,"(_to_copy_3, 2)",{}
41,gdn_gated_rmsnorm,mean_1,call_function,aten.mean.dim,pow_2,add_2,"[196608, 1]",float32,cuda:0,"(pow_2, [-1], True)",{}
42,gdn_gated_rmsnorm,add_2,call_function,aten.add.Tensor,mean_1,rsqrt_1,"[196608, 1]",float32,cuda:0,"(mean_1, 1e-06)",{}
43,gdn_gated_rmsnorm,rsqrt_1,call_function,aten.rsqrt.default,add_2,mul_2,"[196608, 1]",float32,cuda:0,"(add_2,)",{}
44,gdn_gated_rmsnorm,mul_2,call_function,aten.mul.Tensor,_to_copy_3 rsqrt_1,mul_3,"[196608, 128]",float32,cuda:0,"(_to_copy_3, rsqrt_1)",{}
45,gdn_gated_rmsnorm,mul_3,call_function,aten.mul.Tensor,_to_copy_4 mul_2,mul_4,"[196608, 128]",float32,cuda:0,"(mul_2, _to_copy_4)",{}
46,gdn_gated_rmsnorm,silu,call_function,aten.silu.default,_to_copy_5,mul_4,"[196608, 128]",float32,cuda:0,"(_to_copy_5,)",{}
47,gdn_gated_rmsnorm,mul_4,call_function,aten.mul.Tensor,mul_3 silu,_to_copy_6,"[196608, 128]",float32,cuda:0,"(mul_3, silu)",{}
48,gdn_gated_rmsnorm,_to_copy_6,call_function,aten._to_copy.default,mul_4,view_2,"[196608, 128]",bfloat16,cuda:0,"(mul_4,)",{'dtype': torch.bfloat16}
49,gdn_gated_rmsnorm,view_2,call_function,aten.view.default,_to_copy_6,view_3,"[4096, 48, 128]",bfloat16,cuda:0,"(_to_copy_6, [4096, 48, 128])",{}
50,gdn_gated_rmsnorm,view_3,call_function,aten.view.default,view_2,mm_2,"[4096, 6144]",bfloat16,cuda:0,"(view_2, [4096, 6144])",{}
51,output_projection,_param_constant4,get_attr,_param_constant4,,t_2,"[5120, 6144]",bfloat16,cuda:0,(),{}
52,output_projection,t_2,call_function,aten.t.default,_param_constant4,mm_2,"[6144, 5120]",bfloat16,cuda:0,"(_param_constant4,)",{}
53,output_projection,mm_2,call_function,aten.mm.default,view_3 t_2,copy_,"[4096, 5120]",bfloat16,cuda:0,"(view_3, t_2)",{}
54,output_projection,copy_,call_function,aten.copy_.default,empty_like mm_2,add_3,"[4096, 5120]",bfloat16,cuda:0,"(empty_like, mm_2)",{}
55,output_projection,_param_constant5,get_attr,_param_constant5,,detach_1,[5120],bfloat16,cuda:0,(),{}
56,output_projection,detach_1,call_function,aten.detach.default,_param_constant5,_to_copy_8,[5120],bfloat16,cuda:0,"(_param_constant5,)",{}
57,output_projection,add_3,call_function,aten.add.Tensor,arg1_1 copy_,_to_copy_7 output,"[4096, 5120]",bfloat16,cuda:0,"(copy_, arg1_1)",{}
58,post_attention_rmsnorm,_to_copy_7,call_function,aten._to_copy.default,add_3,mul_5 pow_3,"[4096, 5120]",float32,cuda:0,"(add_3,)",{'dtype': torch.float32}
59,post_attention_rmsnorm,pow_3,call_function,aten.pow.Tensor_Scalar,_to_copy_7,mean_2,"[4096, 5120]",float32,cuda:0,"(_to_copy_7, 2)",{}
60,post_attention_rmsnorm,mean_2,call_function,aten.mean.dim,pow_3,add_4,"[4096, 1]",float32,cuda:0,"(pow_3, [-1], True)",{}
61,post_attention_rmsnorm,add_4,call_function,aten.add.Tensor,mean_2,rsqrt_2,"[4096, 1]",float32,cuda:0,"(mean_2, 1e-06)",{}
62,post_attention_rmsnorm,rsqrt_2,call_function,aten.rsqrt.default,add_4,mul_5,"[4096, 1]",float32,cuda:0,"(add_4,)",{}
63,post_attention_rmsnorm,mul_5,call_function,aten.mul.Tensor,_to_copy_7 rsqrt_2,mul_6,"[4096, 5120]",float32,cuda:0,"(_to_copy_7, rsqrt_2)",{}
64,post_attention_rmsnorm,_to_copy_8,call_function,aten._to_copy.default,detach_1,add_5,[5120],float32,cuda:0,"(detach_1,)",{'dtype': torch.float32}
65,post_attention_rmsnorm,add_5,call_function,aten.add.Tensor,_to_copy_8,mul_6,[5120],float32,cuda:0,"(_to_copy_8, 1.0)",{}
66,post_attention_rmsnorm,mul_6,call_function,aten.mul.Tensor,mul_5 add_5,_to_copy_9,"[4096, 5120]",float32,cuda:0,"(mul_5, add_5)",{}
67,post_attention_rmsnorm,_to_copy_9,call_function,aten._to_copy.default,mul_6,mm_3,"[4096, 5120]",bfloat16,cuda:0,"(mul_6,)",{'dtype': torch.bfloat16}
68,mlp,_param_constant6,get_attr,_param_constant6,,t_3,"[34816, 5120]",bfloat16,cuda:0,(),{}
69,mlp,t_3,call_function,aten.t.default,_param_constant6,mm_3,"[5120, 34816]",bfloat16,cuda:0,"(_param_constant6,)",{}
70,mlp,mm_3,call_function,aten.mm.default,_to_copy_9 t_3,silu_and_mul,"[4096, 34816]",bfloat16,cuda:0,"(_to_copy_9, t_3)",{}
71,mlp,empty,call_function,aten.empty.memory_format,,mm_4 silu_and_mul,"[4096, 17408]",bfloat16,cuda:0,"([4096, 17408],)","{'dtype': torch.bfloat16, 'device': device(type='cuda', index=0), 'pin_memory': False}"
72,mlp,silu_and_mul,call_function,_C.silu_and_mul.default,mm_3 empty,,,,,"(empty, mm_3)",{}
73,mlp,_param_constant7,get_attr,_param_constant7,,t_4,"[5120, 17408]",bfloat16,cuda:0,(),{}
74,mlp,t_4,call_function,aten.t.default,_param_constant7,mm_4,"[17408, 5120]",bfloat16,cuda:0,"(_param_constant7,)",{}
75,mlp,mm_4,call_function,aten.mm.default,empty t_4,output,"[4096, 5120]",bfloat16,cuda:0,"(empty, t_4)",{}
76,layer_output,output,output,output,add_3 mm_4,,,,,"((mm_4, add_3),)",{}
